MBIID	rating_mean_cat1	rating_mean_cat2	rating_mean_cat3	rating_mean_cat4	rating_mean_cat5	rating_mean_cat6	rating_mean_cat7	rating_mean_cat8	rating_mean_cat9
B000481	2	0.556	3	-0.556	2.111	-2.889	-3	0	-2.667
B000704	0.444	0.444	0.889	-0.333	1.222	-2.667	-1.333	-0.667	-2.222
B000853	1.222	0.556	0.333	-0.667	-0.111	-2.556	-1.444	0.444	-1.444
B000906	1.222	1.111	2.444	0.111	2.333	-1.778	-1.778	1.556	-2.222
B000977	3	2.333	1.667	-1.222	2.889	-3	-2.333	2.667	-2.444
B001249	-0.111	0.111	0.222	0	0.111	0	0.111	0.556	0
B001326	0.778	0.778	0.889	0	1.444	-1.889	-1.889	0.444	-2.778
B001432	1.889	0.444	2.667	-0.889	3	-2.889	-2.333	0.222	-2.889
B001482	0	0	0	0	0	0	0	0	0
B001877	0.222	0.333	2.111	-0.444	2	-3	-1.333	0.111	-2.556
B002687	1.778	-0.444	2.556	0.222	2.778	-3	-2.889	0.111	-2.889
B003391	1.222	-1.222	2.333	-1.333	1.778	-3	-3	-1.667	-3
B003418	0.556	-0.222	1.889	0	1.333	-2.111	-1	0.778	-1.556
B003480	1	0.444	2.667	0.222	1.444	-2.556	-1.222	-0.667	-1.111
B003613	0.222	0.111	1.444	-0.667	1.667	-1.444	-0.667	1.333	-2.556
B003780	0.889	0.556	1.111	-0.778	1.889	-3	-2.667	-0.889	-3
B003845	1.111	-0.222	1.111	-0.222	1.667	-2	-2	1.222	-1.444
B003933	0.222	0.778	1.444	-0.222	1.778	-1.889	-1.111	-0.556	-2.111
B004032	1.222	0	0	-0.556	0.889	-1.111	-1	0	-1.667
B004046	0	0	0	0	0	0	0	0	0
B004612	1.889	1.222	3	0.333	2.889	-3	-1.333	1.333	-2.444
B004704	0.889	1.444	2.333	0.333	2.222	-2.667	-2.222	2	-1.889
B005093	-0.333	-0.889	2.111	-1	3	-3	-2	-0.111	-3
B005259	1.667	1.111	1.222	-0.111	1.667	-2.333	-2.333	1.556	-1.889
B005284	0.444	0.333	1.333	-0.222	2.778	-2.222	-1.667	0.667	-2.556
B005686	1	-0.444	1.111	-0.333	1.111	-2.111	-2.444	0.889	-2.889
B005919	0.889	-0.111	0.667	-0.222	2.222	-3	-3	0.444	-2.889
B005929	1.889	-0.444	2.556	-0.111	2.222	-2.444	-2.444	1.222	-1.889
B006002	-1.444	-1.667	-1.778	-1.889	1.556	-2.556	-0.778	0.333	-1.444
B006024	-1.556	-2.111	-1	-2.333	-1.444	-3	-3	-1.444	-3
B006451	-0.778	-0.889	0	-1	-0.222	-2.667	-1.778	-0.333	-2.778
B006714	-0.111	-0.778	2	-0.333	1.444	-2.667	0.556	-2	1.444
B007411	0.111	0.222	2.222	-0.111	1.778	-2.333	-1.667	0.778	-3
B007704	1.222	1.111	2	-1.333	1.778	-2.667	-0.444	0.778	-0.667
B007790	1.333	-0.667	2.778	0	2.556	-3	-3	-0.333	-2.889
B007997	-2.222	-2.111	-1.333	-2.556	-1.333	-3	-3	-2.444	-3
B008056	1.222	0.778	1	-0.111	1.444	-0.444	0.111	0.444	-0.222
B008291	0.111	0.778	0.222	-0.444	1.444	-2.333	-1.778	0.778	-2
B008352	0.222	0.222	1	-0.556	1	-3	-1.889	-0.444	-2.111
B008550	0.444	0.111	2.444	0.667	2.889	-2	0.111	-1.778	1.222
B008762	2.444	1	2.667	0.333	2.778	-2.222	-2.111	-1.778	-2.444
B009216	1.333	1.222	1.778	-0.778	1.667	-2.222	-1.222	0.444	-2.444
B009677	0.556	1	2.111	0.556	2.333	-2.889	-1.889	0.667	-1.667
B010198	0.111	0.667	2.444	-1	2.222	-0.778	1.556	0.111	0.444
B010307	2.333	1.778	2.667	-0.111	3	-2.667	-1.111	0	-2
B010338	1.778	1.667	2.667	-0.444	2.222	-3	-1	2	-2.556
B010598	-0.222	0.667	2.111	-0.778	2.667	-2.333	-0.333	2	-3
B010703	-0.333	-1.111	0.333	-0.111	0.333	-2.111	-1.222	0.667	-0.556
B010986	-0.667	-0.778	0	-1	1	-2.667	-2	-0.667	-3
B010988	3	0.333	0.667	0	2	-2.667	-3	1	-3
B011057	-0.444	1	0.556	-0.889	1.111	-0.111	0.667	0.556	-0.222
B011152	1.778	0.111	1.778	0.111	1	-2.444	-1.667	-1.444	-2
B011212	0	-0.333	1.556	-0.778	2.111	-2.778	-1.778	-1.778	-0.889
B011229	-0.222	-1	1.333	-0.778	2.111	-2.556	-0.889	-0.333	-2.556
B011286	1.778	-0.444	1.778	-0.111	0.889	-1.778	-0.333	-2.111	0.333
B011330	-0.111	-0.222	0.778	0	0.444	-2.222	-1.556	-1.667	-0.556
B011850	2.333	-1.111	2.111	0.222	2.333	-2.222	-2.333	1.667	-2.222
B012134	2.556	0.111	2.444	-0.222	2.889	-2.778	-2.889	1.556	-1.222
B012865	0	1.333	1.778	0.111	2.444	-2.556	0.778	-0.667	-2.778
B013255	0.111	-0.889	1.111	-0.222	1.444	-2.333	-1.333	0.778	-1.778
B013781	0.111	-0.333	1.667	-0.111	1.333	-0.667	0.111	0.222	0
B014016	1.556	0.111	1.444	0.444	2.778	-2.667	-2	1.667	-3
B014340	1.556	2.333	1.889	0.111	2.778	1.556	2.444	2.111	0.667
B014437	0.667	0.667	1.556	0.222	2.556	-2.889	-0.556	-1.556	-1.778
B014453	2.111	1.333	2.333	0.222	2.778	-2.111	-1.556	1.333	-2.667
B014467	2.889	2.778	3	3	3	1	3	3	3
B014956	1.222	1.222	1.778	-0.111	3	-2.667	-2.667	1.556	-1.889
B015379	1.889	-0.333	2.556	0.444	2.111	-2.333	0	0.667	-1.333
B015634	2	1.222	2.444	0.778	2.444	-0.889	-0.556	-0.444	-0.778
B015759	1	-0.556	1.333	-0.667	1.667	-1.889	-0.667	-2.444	-1.333
B016183	0.778	-0.222	1.333	-0.111	0.778	-1.556	-1.333	-0.111	-2.222
B016543	1.111	1.556	1.889	0.111	2.556	-1.889	0.556	-2.778	-0.889
B017474	0.333	0.333	2.333	-0.667	1.333	-2.333	-2.556	0.667	-2.889
B017798	1.444	-0.222	1.111	-0.111	0.667	-1.333	-1	0.667	-1.444
B018065	1.556	0.556	1.889	0	2.444	-2.222	-1	0.444	-1.889
B018163	1.444	0.444	2.667	0.444	1.556	-2.333	0.222	0	-1.111
B019259	2	0	1.333	0.111	1.556	-2.111	-1.667	0.222	-2.667
B020421	0	-0.778	0.111	-0.444	0.778	-2.556	-1.778	-0.556	-3
B022938	0.778	0.333	2.667	-0.111	2.222	-2.556	-1.444	-0.444	-1.333
B025904	1.333	0	-0.778	-0.111	1	-2.556	-0.778	0.667	-2.222
B027304	0.667	-0.222	2.111	-1.333	1.778	-3	-2.333	-1.667	-2.111
B031372	0.556	0.333	0.778	0.333	1.556	-0.222	0.556	0.889	-0.111
B031886	3	1.222	3	0.111	3	-3	-3	1.222	-2.889
B032765	-0.889	0.667	0.111	-1	0.111	-2.333	-1.889	1.444	0.667
B032855	1.889	1.333	2.333	-0.111	3	-3	-3	0.444	-2.778
B032897	1.778	0	2.778	-0.111	2.111	-2.778	-2.111	-0.667	-3
