Srvy_id	SQ23_1050	SQ23_1120	SQ23_1300	SQ23_1301	SQ23_1321	SQ23_1440	SQ23_1441	SQ23_1460	SQ23_1463	SQ23_1500	SQ23_1525	SQ23_1610	SQ23_1710	SQ23_1811	SQ23_1930	SQ23_1932	SQ23_4006	SQ23_4150	SQ23_4220	SQ23_4225	SQ23_4531	SQ23_4534	SQ23_4537	SQ23_4538	SQ23_5600	SQ23_5631	SQ23_5660	SQ23_5700	SQ23_5814	SQ23_5831	SQ23_5833	SQ23_5836	SQ23_5971	SQ23_5972	SQ23_8031	SQ23_8080	SQ23_8179	SQ23_8180	SQ23_8186	SQ23_8200	SQ23_8370	SQ23_8475	SQ23_9050	SQ23_9230	SQ23_9600	SQ23_9622	SQ23_9902	SQ23_9910
1511200374	-3	-3	-3	-3	-3	3	3	3	3	3	-3	3	3	-2	-3	-3	-3	-3	-3	-3	-3	-2	-3	-3	0	0	0	0	0	0	3	0	-3	-3	0	0	-1	0	0	0	2	-3	-3	-3	-3	-3	-3	-3
1511200387	-3	-3	-1	-3	1	3	3	3	0	3	-3	1	2	-3	2	1	-1	-1	0	0	0	1	1	2	1	1	2	2	1	2	1	-1	2	2	2	-1	0	0	2	0	0	-3	-3	2	1	-3	-3	-3
1511200395	2	-2	2	1	-2	1	3	2	3	3	1	2	1	-2	2	1	-2	2	2	1	-2	1	-2	-2	2	2	2	1	2	2	2	1	1	2	2	-2	1	1	-2	-2	3	1	1	2	2	-2	2	1
1511200445	-3	-3	-3	-3	-3	1	0	3	3	0	-3	3	3	-3	-3	-3	3	3	3	3	0	0	-3	-3	0	0	0	0	3	0	3	2	-3	-3	0	0	0	3	0	0	3	1	-3	-3	-3	-3	-3	-3
1511200466	-1	-1	-1	-1	0	1	1	1	1	1	-1	1	2	0	-1	-1	2	2	2	2	-1	-1	-1	-1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	-1	-1	0	-1	-1	1	-1	-1	0	-1
1511200508	-1	-1	-3	-2	0	3	2	3	3	0	-2	1	2	-2	-1	-1	-3	-3	-3	-3	3	-2	3	3	2	0	0	1	2	2	3	1	-2	-1	3	0	1	-1	1	2	0	2	-3	-1	-2	-2	-2	-3
1511200551	2	0	-1	0	1	3	3	3	3	2	-1	2	3	0	0	1	0	1	0	1	-1	-1	-1	-1	3	2	3	3	3	3	0	3	1	0	1	0	1	1	1	0	1	-1	0	0	0	1	0	0
1511200555	-3	-3	-3	-3	0	3	3	2	2	2	-3	2	3	-2	-3	-3	0	3	3	3	0	-3	-3	0	3	3	3	3	3	3	3	3	-3	-3	-1	3	-3	0	-3	2	3	-3	-3	-3	-3	-3	-3	-3
1511200822	-2	-1	0	-2	1	3	3	3	3	3	-3	3	3	-3	-3	-3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	-3	3	3	3	3	3	3	3	-3	-3	-3	-3	-3	-3	-3
1511201047	-3	-3	-3	-2	0	1	1	1	2	1	-3	0	1	-2	-1	-1	1	2	3	2	-2	-3	-2	-3	1	1	0	0	2	0	3	2	0	-1	0	0	-1	2	0	1	0	-1	0	-2	-2	1	-2	-1
