Project	Respondent_ID  ID	GRPRT_img1050_PRT  {#IMG_1050} :	GRPRT_img1120_PRT  {#IMG_1120} :	GRPRT_img1300_PRT  {#IMG_1300} :	GRPRT_img1301_PRT  {#IMG_1301} :	GRPRT_img1321_PRT  {#IMG_1321} :	GRPRT_img1440_PRT  {#IMG_1440} :	GRPRT_img1441_PRT  {#IMG_1441} :	GRPRT_img1460_PRT  {#IMG_1460} :	GRPRT_img1463_PRT  {#IMG_1463} :	GRPRT_img1500_PRT  {#IMG_1500} :	GRPRT_img1525_PRT  {#IMG_1525} :	GRPRT_img1610_PRT  {#IMG_1610} :	GRPRT_img1710_PRT  {#IMG_1710} :	GRPRT_img1811_PRT  {#IMG_1811} :	GRPRT_img1930_PRT  {#IMG_1930} :	GRPRT_img1932_PRT  {#IMG_1932} :	GRPRT_img4006_PRT  {#IMG_4006} :	GRPRT_img4150_PRT  {#IMG_4150} :	GRPRT_img4220_PRT  {#IMG_4220} :	GRPRT_img4225_PRT  {#IMG_4225} :	GRPRT_img4531_PRT  {#IMG_4531} :	GRPRT_img4534_PRT  {#IMG_4534} :	GRPRT_img4537_PRT  {#IMG_4537} :	GRPRT_img4538_PRT  {#IMG_4538} :	GRPRT_img5600_PRT  {#IMG_5600} :	GRPRT_img5631_PRT  {#IMG_5631} :	GRPRT_img5660_PRT  {#IMG_5660} :	GRPRT_img5700_PRT  {#IMG_5700} :	GRPRT_img5814_PRT  {#IMG_5814} :	GRPRT_img5831_PRT  {#IMG_5831} :	GRPRT_img5833_PRT  {#IMG_5833} :	GRPRT_img5836_PRT  {#IMG_5836} :	GRPRT_img5971_PRT  {#IMG_5971} :	GRPRT_img5972_PRT  {#IMG_5972} :	GRPRT_img8031_PRT  {#IMG_8031} :	GRPRT_img8080_PRT  {#IMG_8080} :	GRPRT_img8179_PRT  {#IMG_8179} :	GRPRT_img8180_PRT  {#IMG_8180} :	GRPRT_img8186_PRT  {#IMG_8186} :	GRPRT_img8200_PRT  {#IMG_8200} :	GRPRT_img8370_PRT  {#IMG_8370} :	GRPRT_img8475_PRT  {#IMG_8475} :	GRPRT_img9050_PRT  {#IMG_9050} :	GRPRT_img9230_PRT  {#IMG_9230} :	GRPRT_img9600_PRT  {#IMG_9600} :	GRPRT_img9622_PRT  {#IMG_9622} :	GRPRT_img9902_PRT  {#IMG_9902} :	GRPRT_img9910_PRT  {#IMG_9910} :
N501	25EF6DDD-5E5E-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	3	3	3	-3	3	3	2	-3	-3	0	0	0	0	0	0	0	0	3	3	3	3	2	3	3	3	-2	-2	3	2	0	2	0	1	2	3	-3	-3	-3	-3	-3	-3
N501	46E060E9-5E5E-E611-8111-125BDAFF1DF1	-2	-2	-2	-2	-2	1	2	2	1	1	-3	1	1	1	-2	-2	0	0	0	0	1	1	-1	1	2	2	1	-2	-1	1	1	1	-1	-2	1	1	-2	2	-2	1	1	1	-2	-2	-2	-3	-3	-2
N501	E4635AFB-5E5E-E611-8111-125BDAFF1DF1	-3	-3	-3	-1	-2	3	3	3	3	3	-3	3	3	1	-3	-3	-3	-2	-2	-3	3	0	-3	3	3	3	3	3	3	3	3	3	-3	-3	2	3	0	0	0	3	3	-3	-2	0	-2	-3	-3	-3
N501	95305237-5F5E-E611-8111-125BDAFF1DF1	2	0	-1	-1	1	0	0	0	0	0	-1	0	0	-1	0	1	2	2	3	2	-2	-1	-1	-1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	-2	0	1	0	1	0	0
N501	FCE0DFF6-5F5E-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-2	3	3	3	3	3	-3	3	3	1	-3	-3	0	0	-2	0	1	1	1	-1	1	2	1	2	2	-1	2	0	-3	-3	1	1	1	1	1	1	1	-1	-3	-2	-3	-3	-3	-3
N501	F863D002-605E-E611-8111-125BDAFF1DF1	1	0	-3	-3	1	3	2	3	1	3	-3	0	3	-2	-2	-2	0	-2	-1	2	0	1	-1	-1	2	1	1	3	-1	3	2	-1	-2	-1	0	0	-1	-1	0	-1	-2	-3	-3	-1	-3	-3	-2	-3
N501	7B55D908-605E-E611-8111-125BDAFF1DF1	0	0	0	2	2	3	3	3	3	3	0	3	3	3	0	0	-1	-2	-2	-2	2	1	1	1	3	3	3	3	3	3	3	3	1	2	2	1	2	2	3	1	2	1	0	1	1	-1	0	-1
N501	FE55D908-605E-E611-8111-125BDAFF1DF1	-1	-2	-2	0	0	0	1	2	1	2	-2	1	3	1	1	1	1	2	3	3	-3	-2	-2	-3	3	2	3	1	1	3	2	1	2	-2	-2	0	0	-1	1	2	2	-1	-2	-2	-2	-2	-2	-1
N501	2956D908-605E-E611-8111-125BDAFF1DF1	1	0	-1	0	1	2	3	2	1	1	-1	1	1	1	1	1	-1	0	0	0	-2	-1	-1	-1	2	2	2	1	3	3	2	3	1	1	0	1	1	2	1	0	1	-1	0	0	0	0	0	0
N501	6697D10E-605E-E611-8111-125BDAFF1DF1	-3	-2	-2	-2	-1	2	1	1	1	1	-2	2	2	2	-1	0	-1	-2	-1	-1	0	0	-1	0	2	2	2	3	2	1	3	1	1	0	1	1	1	1	1	1	1	1	-3	1	0	-1	-1	-1
N501	1798D10E-605E-E611-8111-125BDAFF1DF1	0	0	-2	-2	0	0	0	1	1	0	-2	1	3	1	-3	-2	-2	-1	0	-1	0	0	0	0	0	0	0	0	0	0	2	2	-3	-3	0	0	0	1	0	0	0	0	-3	-3	-3	-3	-3	-3
N501	D0ACCB1A-605E-E611-8111-125BDAFF1DF1	-3	-1	-3	-2	-1	3	3	1	0	1	-3	0	1	0	-1	1	-3	-2	-3	-3	-1	0	-1	-2	3	3	3	3	2	3	2	3	0	2	1	-1	1	1	-2	-2	-1	-2	-3	2	-2	-3	-3	-2
N501	18ADCB1A-605E-E611-8111-125BDAFF1DF1	0	-1	-1	0	1	3	3	2	1	3	-2	3	3	0	0	0	-2	-1	-2	-1	-1	-1	-1	-1	2	2	1	3	3	2	2	-1	0	1	1	1	-2	1	1	2	1	0	0	0	0	-1	-1	-1
N501	EC5CC620-605E-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-3	3	3	3	3	0	-3	3	0	-3	-3	-3	-3	-3	-3	-3	0	0	-3	0	3	3	3	3	0	0	0	-3	-3	0	3	-3	0	-3	0	3	0	0	-3	-3	-3	-3	-3	-3
N501	135DC620-605E-E611-8111-125BDAFF1DF1	-2	-1	-3	-3	1	3	3	2	2	0	-3	1	3	-1	-1	-2	2	2	3	3	-1	0	-1	-1	3	3	3	3	2	2	3	2	2	-1	3	2	2	1	2	2	2	-1	1	-1	-1	-1	-1	-2
N501	2D6EC326-605E-E611-8111-125BDAFF1DF1	2	2	2	3	3	3	3	3	3	3	2	3	3	3	3	3	1	2	3	2	1	3	2	3	3	3	3	3	3	3	3	3	3	2	3	3	3	2	2	3	3	2	3	2	3	2	2	2
N501	9081B338-605E-E611-8111-125BDAFF1DF1	2	1	-2	0	0	-2	0	-1	0	1	-1	0	0	-1	-1	1	2	1	2	3	-1	-1	-1	-1	-2	0	-2	0	1	1	2	-2	0	0	1	1	1	1	1	0	-1	-2	-2	-2	-3	-1	-3	-3
N501	9DCDB444-605E-E611-8111-125BDAFF1DF1	-1	-1	-2	-2	-1	2	2	2	2	1	-2	0	2	1	-1	-2	2	1	2	2	-1	-1	-1	-1	1	1	1	2	0	1	1	2	-1	1	1	0	0	1	1	0	1	1	-2	-1	-1	1	-3	-2
N501	95CDB444-605E-E611-8111-125BDAFF1DF1	0	0	-1	-1	0	3	1	3	3	0	-3	2	1	3	0	0	3	3	3	3	-2	-1	-1	-2	0	0	1	1	3	3	3	3	0	-2	0	0	0	0	0	0	0	0	-3	-3	-3	-3	-3	-3
N501	AEEFD656-605E-E611-8111-125BDAFF1DF1	2	2	1	1	1	0	0	0	0	0	0	0	1	2	2	3	2	2	3	2	-3	-3	-3	-3	2	2	1	2	2	1	2	1	2	2	1	1	3	2	1	0	1	1	1	2	1	2	1	1
N501	D79EC468-605E-E611-8111-125BDAFF1DF1	-1	-2	-1	-1	-2	3	3	3	3	3	-2	3	2	-1	-1	-2	3	3	3	3	0	-2	-2	-2	1	1	1	2	-1	2	2	-1	-1	-2	0	0	-2	-1	0	0	1	0	-3	-3	-1	-3	-3	-3
N501	5E13C46E-605E-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	0	3	3	3	3	3	-3	3	3	0	-3	-3	3	3	3	3	-3	-3	-3	-3	2	3	3	3	3	3	3	3	-3	-3	1	1	-2	-1	-1	1	1	-3	-3	-3	-3	-3	-3	-3
N501	2BBE734C-615E-E611-8111-125BDAFF1DF1	-1	-2	-3	-3	-1	2	0	2	2	1	-3	2	2	-1	-2	-3	2	3	2	2	-2	-2	-2	-1	1	0	2	1	2	1	2	0	-2	-3	2	2	1	1	2	2	-1	-2	-3	-1	-3	-2	-2	-3
N501	E8170FDE-625E-E611-8111-125BDAFF1DF1	1	-1	-2	0	0	2	3	3	2	2	1	1	2	2	-1	-1	2	1	1	1	-1	0	0	0	1	2	2	2	2	2	2	2	-2	-2	2	1	2	2	2	3	1	0	-1	-3	-1	-1	-1	-3
N501	65EB03F0-625E-E611-8111-125BDAFF1DF1	-3	-3	-3	-3	-2	3	3	3	3	3	-3	3	3	1	-3	-3	-1	-1	-2	-2	3	2	2	3	3	3	2	1	2	3	2	1	-3	-3	2	0	-2	-2	-2	1	2	-3	-3	1	-3	-3	-3	-3
N501	D54BD767-635E-E611-8111-125BDAFF1DF1	0	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	-1	3	3	2	3	3	0	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	1	3	3	3	-2	3	-1
N501	E04FC185-635E-E611-8111-125BDAFF1DF1	0	-1	0	0	0	0	3	3	3	3	-1	1	3	3	0	0	3	1	3	3	3	0	1	0	2	3	3	3	3	3	3	2	0	2	0	3	3	3	3	3	-1	-3	0	-3	-1	-1	-3	-3
N501	F3256EFD-635E-E611-8111-125BDAFF1DF1	0	1	-3	-2	-1	3	3	3	3	3	-3	3	3	1	1	0	-2	-2	0	0	3	1	0	0	3	3	3	3	3	3	3	3	1	-1	1	2	1	3	2	2	3	1	-3	-3	-2	-2	-3	-3
